category,key,value
identity,Odysseus role,"Odysseus is the central brain/orchestrator of the workspace; reads repos, schedules tasks, kicks off agents, monitors containers, and routes work rather than coding everything itself"
identity,Odysseus access model,"Odysseus connects via a shared drive mount (every repo is a file path away) and the Docker socket (restart containers, trigger builds, kick off agent loops)"
identity,Odysseus API base,"Odysseus runs locally at http://localhost:7000 with a REST API; Bearer token auth via tokens generated in Settings → API Tokens, stored as ODYSSEUS_URL and ODYSSEUS_TOKEN env vars"

facts,Core repo - odysseus,"Self-referential core workspace; writes its own skills/docs/config and can restart itself via Docker socket; connects via /api/codex/* + Docker socket + shared drive; status running, ongoing priority"
facts,Core repo - motor-pool,"Multi-service AI ops platform; sister platform to Odysseus sharing Ollama at :8081; containers include motor-pool app, dashboard :3000, agent-db Postgres :5432, nemoclaw :9000, tool-content-gen :3200, and tool-website :3201; high priority"
facts,Core repo - stash,"Personal knowledge vault and Obsidian vault; Odysseus's primary external brain; holds Obsidian notes, 15 years of enterprise automation scripts, and MD runbooks/decisions; git-tracked and Obsidian-readable; high priority"
facts,Core repo - overseer,"Meta-repo intelligence layer that aggregates what needs to happen next across all repos (stalled PRs, vuln fixes, missing docs, ROADMAP/TASKS/FEATURES health); reads workspace MD files directly and can take or delegate action; high priority"
facts,Repo - fire,"FIRE tracker and API server; Odysseus polls periodically and surfaces numbers in a morning briefing; financial context, low/eventual priority"
facts,Repo - vhs,"VHS collection index, active dev for girlfriend; Odysseus can curate entries, research valuations, and write back to JSON via shell; one of only 3 repos with a NeonDB; low-medium priority, revisit when active"
facts,Repo - kryptos,K4 cipher toolkit side project; has a NeonDB for cipher analysis state; cool autonomous sub-agent pattern but low priority
facts,Repo - bb-mcp,"Blackboard MCP server, part of motor-pool; deprioritized for now; will eventually demonstrate a semi-complex MCP layered on a local/remote LLM inside motor-pool"
facts,Repo - avatar,"Generative AI model trainer; deprioritized; potential future motor-pool experience (user uploads images, motor-pool runs fine-tune pipeline)"
facts,Repo - auto-apply-plugin,Chrome job application autofill tool; explicitly dropped/lowered priority
facts,Repo - gcp,"Google Drive audit/copy CLI utility; role TBD, basic Gemini sufficient for now"
facts,Repo - opencut-classic,Forked video editor being explored; potential future motor-pool experience as its own SLM/container for editing AI-generated content
facts,Low-priority watch-only repos,darkmoon (multiplayer 3D game) and games (browser arcade) are live proofs of concept tracked only for CI failure/downtime alerts; farm-3j is a client PoC tracked on downtime
facts,Ignored repos,skyview (client drone site) and osrs (OSRS bot) are intentionally ignored with no Odysseus integration
facts,NeonDB instances,"Only overseer, vhs, and kryptos have NeonDB instances; overseer's holds repo health scores, vhs holds collection data, kryptos holds cipher analysis state"
facts,motor-pool container - nemoclaw,"Unknown role container in motor-pool (nemoclaw:latest, port 9000→8080); needs investigation before being wired into automated flows"
