category,key,value
preferences,Technical interests,AI agents MCP ecosystems developer productivity platform engineering and workflow automation
preferences,Problem solving style,Prefers building systems and automation over manual repetitive processes
preferences,Career preference,Strong preference for technically deep roles with ownership rather than management tracks

identity,Core expertise,Jira Confluence Atlassian administration automation integrations and platform tooling
identity,Builder profile,Frequently creates personal tools prototypes automations and side projects to solve real problems

facts,Automotive interests,Long-term interest in vehicle restoration fabrication and maintenance projects
facts,Job search activity,Has actively explored automated job search and application workflows

projects,AI agents,Multiple experiments involving agent orchestration autonomous workflows and developer assistants
projects,MCP ecosystem,Repeated work involving MCP servers integrations tooling and experimentation
projects,Career automation,Tools and workflows related to resume management job discovery and application automation
